,names,stars,reviews,polarity,subjectivity,Pol_Analysis,stars_analysis
3927,Satya pal singh,5.0 out of 5 stars,Good product,0.7,0.6000000000000001,Positive,Satisfied
3928,Hasanur K.,5.0 out of 5 stars,Good sound,0.55,0.5,Positive,Satisfied
3929,Vipin,5.0 out of 5 stars,Good bass overall awesome,0.38749999999999996,0.525,Positive,Satisfied
3930,Ravi Utsav,5.0 out of 5 stars,😭😭,0.0,0.0,Nutral,Satisfied
3931,Tej ram,5.0 out of 5 stars,...,0.0,0.0,Nutral,Satisfied
3932,Sanjay singh,5.0 out of 5 stars,Sound and battery,0.4,0.4,Positive,Satisfied
3933,jayesh jain,3.0 out of 5 stars,Not bad,0.3499999999999999,0.6666666666666666,Positive,Dont_Know
3934,MAMTA,4.0 out of 5 stars,Good quality with reasonable price,0.44999999999999996,0.6000000000000001,Positive,Satisfied
3935,Aditya D.,5.0 out of 5 stars,Love the sound 🔥💖,0.45,0.5,Positive,Satisfied
3936,Sanjeev Kumar,1.0 out of 5 stars,Very disappointed,-0.9750000000000001,0.9750000000000001,Negative,Not_Satisfied
3937,Souvick pachal,3.0 out of 5 stars,Poor battery,-0.4,0.6,Negative,Dont_Know
3938,saumyaranjan sahu,5.0 out of 5 stars,Worth It,0.3,0.1,Positive,Satisfied
3939,PERARASHU,5.0 out of 5 stars,Value for price,0.0,0.0,Nutral,Satisfied
3940,Rajat Kumar Jena,5.0 out of 5 stars,Best One In Budget,1.0,0.3,Positive,Satisfied
3941,JK SASI,4.0 out of 5 stars,Such a nice product..,0.3,0.75,Positive,Satisfied
3942,Rohit Sharma,1.0 out of 5 stars,Poor,-0.4,0.6,Negative,Not_Satisfied
3943,Sunil R.,5.0 out of 5 stars,System is quite good.,0.7,0.6000000000000001,Positive,Satisfied
3944,Ganesh,5.0 out of 5 stars,T,0.0,0.0,Nutral,Satisfied
3945,Mohit Arora,5.0 out of 5 stars,Awsome,0.0,0.0,Nutral,Satisfied
3946,Shekhar suman,5.0 out of 5 stars,Best sound & base,0.19999999999999996,0.5666666666666667,Positive,Satisfied
3947,Priyanka Kumari,5.0 out of 5 stars,Awesome product 👌👏,1.0,1.0,Positive,Satisfied
3948,Rohit sonekar,5.0 out of 5 stars,Awesome,1.0,1.0,Positive,Satisfied
3949,Jatin Nagpal,5.0 out of 5 stars,Worth the price,0.3,0.1,Positive,Satisfied
3950,Chandan Masanta,5.0 out of 5 stars,Go for it,0.0,0.0,Nutral,Satisfied
3951,Aravinth,4.0 out of 5 stars,Good speaker for offer price,0.7,0.6000000000000001,Positive,Satisfied
3952,Deep Suneja,5.0 out of 5 stars,Awesome product.,1.0,1.0,Positive,Satisfied
3953,Shailesh borade,5.0 out of 5 stars,Fantabulous,0.0,0.0,Nutral,Satisfied
3954,Charles G,4.0 out of 5 stars,Nice Bluetooth speaker,0.6,1.0,Positive,Satisfied
3955,Mukesh,4.0 out of 5 stars,Nice,0.6,1.0,Positive,Satisfied
3956,ajit kumar kasera,5.0 out of 5 stars,Like good,0.7,0.6000000000000001,Positive,Satisfied
3957,prakash,5.0 out of 5 stars,Super,0.3333333333333333,0.6666666666666666,Positive,Satisfied
3958,Ankur,4.0 out of 5 stars,Excellent,1.0,1.0,Positive,Satisfied
3959,Amazon Customer,5.0 out of 5 stars,Excellent,1.0,1.0,Positive,Satisfied
3960,Chandresh m sanghavi,5.0 out of 5 stars,Good,0.7,0.6000000000000001,Positive,Satisfied
3961,anil s.,5.0 out of 5 stars,Wow,0.1,1.0,Positive,Satisfied
3962,GMGokani,5.0 out of 5 stars,The best,1.0,0.3,Positive,Satisfied
3963,Amazon Customer,5.0 out of 5 stars,Awesome,1.0,1.0,Positive,Satisfied
3964,Ricky sonar,5.0 out of 5 stars,Good,0.7,0.6000000000000001,Positive,Satisfied
3965,Vikrant,4.0 out of 5 stars,Best quality,1.0,0.3,Positive,Satisfied
3966,Sneha,5.0 out of 5 stars,Definitely buy it,0.0,0.5,Nutral,Satisfied
3967,Rajput Abhijeet,5.0 out of 5 stars,Cool,0.35,0.65,Positive,Satisfied
3968,subir r,5.0 out of 5 stars,Superb,1.0,1.0,Positive,Satisfied
3969,Yogesh,5.0 out of 5 stars,very good,0.9099999999999999,0.7800000000000001,Positive,Satisfied
3970,Iqbal Ishrat,4.0 out of 5 stars,Nice product Paisa wasool 😍,0.6,1.0,Positive,Satisfied
3971,Kartikey,5.0 out of 5 stars,Excellent,1.0,1.0,Positive,Satisfied
3972,Subhadip,3.0 out of 5 stars,Good product,0.7,0.6000000000000001,Positive,Dont_Know
3973,shrikant,5.0 out of 5 stars,Best,1.0,0.3,Positive,Satisfied
3974,HARISH KILLADI,5.0 out of 5 stars,Worth buying,0.3,0.1,Positive,Satisfied
3975,Ramees mohammed,1.0 out of 5 stars,Good product,0.7,0.6000000000000001,Positive,Not_Satisfied
3976,Ranjit,5.0 out of 5 stars,prefect,0.0,0.0,Nutral,Satisfied
3977,Amazon Customer,3.0 out of 5 stars,Good,0.7,0.6000000000000001,Positive,Dont_Know
3978,Harshit singh,5.0 out of 5 stars,Osm,0.0,0.0,Nutral,Satisfied
3979,Neeraj painwal,4.0 out of 5 stars,Jbl,0.0,0.0,Nutral,Satisfied
3980,shahanshah,5.0 out of 5 stars,Best product,1.0,0.3,Positive,Satisfied
3981,Rakesh Kumar,5.0 out of 5 stars,Super,0.3333333333333333,0.6666666666666666,Positive,Satisfied
3982,Suhail,3.0 out of 5 stars,good,0.7,0.6000000000000001,Positive,Dont_Know
3983,Sonu Kumar patel,5.0 out of 5 stars,Sounds quality better than price,0.5,0.5,Positive,Satisfied
3984,Ritu Dahiya,5.0 out of 5 stars,Good,0.7,0.6000000000000001,Positive,Satisfied
3985,aaa,5.0 out of 5 stars,Sound,0.4,0.4,Positive,Satisfied
3986,Sahil sharma,5.0 out of 5 stars,Osm,0.0,0.0,Nutral,Satisfied
3987,Yash,4.0 out of 5 stars,Value for money 💰,0.0,0.0,Nutral,Satisfied
